"Band_dad","FamilyID_dad","site_size_dad","num.tot.mates","num.tot.clutches","num.tot.chicks","tot.chicks.per.mate","num.ep.mates","num.ep.clutches","num.ep.chicks"
"2350-21085","MakeBelieve-73",7,5,7,16,3.2,4,5,9
"2640-97548","BlueCloud-18",7,1,2,9,9,0,0,0
"2640-97588","CHR-093",32,2,3,9,4.5,1,1,2
"2640-97589","CHR-102",32,4,5,13,3.25,3,3,6
"2811-83208","CHR-004",32,1,1,1,1,0,0,0
"2850-57518","MakeBelieve-14",7,3,4,7,2.33333333333333,2,2,2
"2850-57552","Struthers-10",3,1,2,8,8,0,0,0
"2850-57565","BlueCloud-19",7,2,3,7,3.5,1,1,1
"2850-57567","CHR-043",32,1,1,5,5,0,0,0
"2850-57570","CHR-133",32,2,2,4,2,1,1,2
"2850-57573","Cooks-31",9,1,2,7,7,0,0,0
"2850-57574","Cooks-04",9,1,1,2,2,0,0,0
"2850-57577","CHR-128",32,2,3,6,3,1,1,1
"2850-57578","CHR-099",32,1,2,6,6,0,0,0
"2850-57580","CHR-080",32,1,1,2,2,0,0,0
"2850-57581","CHR-066",32,3,4,9,3,2,3,5
"2850-57582","CHR-074",32,1,2,3,3,0,0,0
"2850-57582","CHR-148",32,1,1,4,4,0,0,0
"2850-57587","none",32,1,1,1,1,1,1,1
"2850-57589","CHR-097",32,2,3,9,4.5,1,1,1
"2850-57614","BlueCloud-22",7,1,2,5,5,0,0,0
"2850-57619","none",1,1,1,2,2,1,1,2
"2850-57620","CHR-039",32,1,2,8,8,0,0,0
"2850-57633","Cooks-02",9,2,2,3,1.5,1,1,2
"2850-57638","Cooks-29",9,1,2,5,5,0,0,0
"2850-57639","McCauley-01",2,1,1,2,2,0,0,0
"2850-57643","DomeHouse-01",1,2,2,3,1.5,1,1,1
"2850-57646","CHR-054",32,1,1,1,1,1,1,1
"2850-57647","CHR-112",32,1,1,2,2,0,0,0
"2850-57653","CHR-045",32,1,1,1,1,1,1,1
"2850-57659","BlueCloud-04",7,1,1,2,2,0,0,0
"2850-57662","Karens-01",1,1,1,3,3,0,0,0
"2850-57666","Cathys-02",1,1,1,1,1,0,0,0
"2850-57668","MakeBelieve-38",7,1,2,3,3,0,0,0
"2850-57671","CHR-073",32,1,1,4,4,0,0,0
"2850-57673","Cooks-17",9,2,2,3,1.5,1,1,1
"2850-57675","Cooks-13",9,1,1,4,4,1,1,4
"2850-57676","Cooks-27",9,1,1,2,2,0,0,0
"2850-57679","none",3,1,1,1,1,1,1,1
"2850-57686","Boyer-05-07",5,1,1,5,5,0,0,0
"2850-57689","Boyer-05-07",5,1,1,2,2,0,0,0
"2850-57691","Marty-01",1,1,2,6,6,0,0,0
"2850-57699","Speedwell-01",1,1,1,2,2,0,0,0
"2850-57731","CHR-032",32,2,3,7,3.5,1,1,1
"2850-57733","CHR-011",32,4,4,8,2,4,4,8
"2850-57742","CHR-110",32,1,2,5,5,0,0,0
"2850-57744","CHR-078",32,1,1,2,2,0,0,0
"2850-57751","Jays-01",1,1,1,2,2,1,1,2
"2850-57752","McCauley-04",2,2,2,8,4,1,1,4
"2850-57806","CHR-037",32,2,3,4,2,1,1,1
"2850-57808","CHR-029",32,6,7,16,2.66666666666667,5,5,11
"2850-57868","UrbanFarm-08",2,1,2,4,4,0,0,0
"2850-57873","MakeBelieve-26",7,1,1,4,4,0,0,0
"2850-57875","MakeBelieve-08",7,1,1,1,1,0,0,0
"2850-57877","MakeBelieve-13",7,1,1,3,3,0,0,0
"2850-57880","CHR-139",32,1,1,1,1,1,1,1
"2850-57881","CHR-025",32,1,2,4,4,0,0,0
"2850-57889","none",9,1,1,2,2,1,1,2
"2850-57899","UrbanFarm-02",2,1,1,2,2,0,0,0
"2850-57901","BlueCloud-05",7,3,4,7,2.33333333333333,2,2,2
"2870-64907","none",32,1,1,1,1,1,1,1
"2870-64915","Cooks-33",9,1,1,4,4,0,0,0
"2870-64916","MaryAnns-01",1,1,1,3,3,0,0,0
