"","mean_rwl","tail","throat_avg_bright","breast_avg_bright","belly_avg_bright","vent_avg_bright","socF_ci_julian","tot.chick","season.prop.wp"
"mean_rwl","1 ","","","","","","","",""
"tail"," 0.36*   ","1 ","","","","","","",""
"throat_avg_bright","-0.12    "," 0.04    ","1 ","","","","","",""
"breast_avg_bright","-0.01    ","-0.01    "," 0.15    ","1 ","","","","",""
"belly_avg_bright","-0.18    ","-0.23    "," 0.31*   "," 0.50*** ","1 ","","","",""
"vent_avg_bright","-0.05    ","-0.07    "," 0.11    "," 0.39**  "," 0.43**  ","1 ","","",""
"socF_ci_julian","-0.02    ","-0.23    "," 0.33*   "," 0.19    "," 0.31*   "," 0.07    ","1 ","",""
"tot.chick"," 0.04    "," 0.33*   ","-0.21    ","-0.14    "," 0.05    ","-0.02    ","-0.49*** ","1 ",""
"season.prop.wp"," 0.05    "," 0.26    "," 0.01    ","-0.08    "," 0.05    "," 0.21    ","-0.10    "," 0.55****","1 "
