"","socF_rwl","socF_tail","socF_t.avg.bright","socF_r.avg.bright","socF_b.avg.bright","socF_v.avg.bright","socF_ci_julian","mean_rwl","tail","throat_avg_bright","breast_avg_bright","belly_avg_bright","vent_avg_bright","tot.chick","season.prop.wp"
"socF_rwl","1 ","","","","","","","","","","","","","",""
"socF_tail"," 0.36*    ","1 ","","","","","","","","","","","","",""
"socF_t.avg.bright","-0.23    ","-0.11    ","1 ","","","","","","","","","","","",""
"socF_r.avg.bright"," 0.23    ","-0.06    "," 0.20    ","1 ","","","","","","","","","","",""
"socF_b.avg.bright"," 0.05    ","-0.01    "," 0.12    "," 0.59****","1 ","","","","","","","","","",""
"socF_v.avg.bright"," 0.13    "," 0.00    "," 0.15    "," 0.54****"," 0.60****","1 ","","","","","","","","",""
"socF_ci_julian"," 0.02    ","-0.16    "," 0.00    "," 0.03    ","-0.03    ","-0.10    ","1 ","","","","","","","",""
"mean_rwl"," 0.25    "," 0.00    ","-0.01    ","-0.01    ","-0.13    ","-0.02    ","-0.02    ","1 ","","","","","","",""
"tail"," 0.03    "," 0.21    "," 0.21    ","-0.24    ","-0.14    "," 0.06    ","-0.23    "," 0.36*    ","1 ","","","","","",""
"throat_avg_bright"," 0.02    ","-0.02    "," 0.16    "," 0.13    "," 0.16    "," 0.29    "," 0.33*    ","-0.12    "," 0.04    ","1 ","","","","",""
"breast_avg_bright"," 0.11    ","-0.10    "," 0.18    "," 0.17    "," 0.13    ","-0.10    "," 0.19    ","-0.01    ","-0.01    "," 0.15    ","1 ","","","",""
"belly_avg_bright","-0.20    ","-0.27    ","-0.04    "," 0.05    "," 0.33*    "," 0.09    "," 0.31*    ","-0.18    ","-0.23    "," 0.31*    "," 0.50*** ","1 ","","",""
"vent_avg_bright","-0.10    ","-0.08    "," 0.19    "," 0.13    "," 0.19    ","-0.04    "," 0.07    ","-0.05    ","-0.07    "," 0.11    "," 0.39**  "," 0.43**  ","1 ","",""
"tot.chick","-0.20    "," 0.10    ","-0.10    ","-0.29*    "," 0.00    "," 0.07    ","-0.49*** "," 0.04    "," 0.33*    ","-0.21    ","-0.14    "," 0.05    ","-0.02    ","1 ",""
"season.prop.wp","-0.28    ","-0.19    "," 0.16    ","-0.28    ","-0.07    ","-0.08    ","-0.10    "," 0.05    "," 0.26    "," 0.01    ","-0.08    "," 0.05    "," 0.21    "," 0.55****","1 "
